"","group","sample","ring_no","species","sex","rearing_nest","family_membership","sampling","index_1","index_2","breading_no","miseq_run","couple","no_species_nest"
"G1","G1","FD001","White247","Bengalese_Finch","Male","VS13","Father","Fostering","S504","N708","1","592","couple6","2"
"G10","G10","FD026","Grey1304","Zebra_Finch","Male","KE05","Father","Fostering","S507","N712","1","799","couple4","1"
"G100","G100","FD250","Grey1302","Zebra_Finch","Male","KE03","Father","Day_10","S503","N706","1","799","couple3","1"
"G101","G101","FD252","Grey1302","Zebra_Finch","Male","KE03","Father","Day_100","S504","N712","1","799","couple3","1"
"G102","G102","FD256","Grey1322","Zebra_Finch","Female","KE03","Mother","Day_35","S507","N710","1","613","couple3","1"
"G103","G103","FD270","Silver179","Bengalese_Finch","Female","VS13","Mother","Day_10","S508","N705","1","613","couple6","2"
"G104","G104","FD271","Grey1317","Zebra_Finch","Female","KE05","Mother","Fostering","S508","N709","1","613","couple4","1"
"G105","G105","FD274","Silver192","Bengalese_Finch","Male","VS4B","Father","Day_5","S507","N706","1","613","couple11","2"
"G106","G106","FD275","Silver200","Bengalese_Finch","Female","VS4B","Mother","Day_5","S508","N707","1","613","couple11","2"
"G107","G107","FD323","Grey1195","Zebra_Finch","Female","OM05","Mother","Day_100","S508","N709","2","799","couple14","1"
"G11","G11","FD030","Grey1304","Zebra_Finch","Male","KE05","Father","Day_100","S517","N702","1","613","couple4","1"
"G110","G110","FD354","Grey1166","Zebra_Finch","Male","OM10","Father","Day_5","S504","N702","2","799","couple15","1"
"G111","G111","FD357","Grey1122","Zebra_Finch","Female","OM20","Mother","Fostering","S505","N706","2","799","couple18","1"
"G113","G113","FD392","Grey0393","Zebra_Finch","Female","OM24","Mother","Fostering","S517","N709","2","799","couple23","1"
"G114","G114","FD411","Grey1090","Zebra_Finch","Male","OM21","Father","Day_5","S503","N712","2","799","couple19","1"
"G116","G116","FD027","Grey1304","Zebra_Finch","Male","KE05","Father","Day_5","S508","N703","1","612","couple4","1"
"G117","G117","FD028","Grey1304","Zebra_Finch","Male","KE05","Father","Day_10","S508","N705","1","612","couple4","1"
"G118","G118","FD029","Grey1304","Zebra_Finch","Male","KE05","Father","Day_35","S508","N709","1","612","couple4","1"
"G119","G119","FD033R","Grey1317","Zebra_Finch","Female","KE05","Mother","Day_35","S507","N702","2","708","couple4","1"
