"","G1","G10","G100","G101","G102","G103","G104","G105","G106","G107","G11","G110","G111","G113","G114","G116","G117","G118","G119","G12","G120","G121","G122","G123","G124","G125","G126","G127","G128","G129","G13","G130","G131","G132","G133","G134","G135","G144","G145","G146","G147","G148","G149","G15","G152","G153","G154","G155","G156","G157","G158","G159","G16","G160","G161","G162","G163","G164","G165","G166","G167","G168","G169","G17","G170","G171","G172","G173","G174","G175","G176","G177","G178","G179","G18","G180","G181","G182","G183","G184","G185","G186","G187","G188","G189","G19","G190","G191","G192","G193","G194","G195","G196","G197","G198","G199","G2","G20","G200","G201","G202","G203","G204","G205","G206","G207","G208","G209","G21","G210","G211","G212","G213","G214","G215","G216","G217","G218","G219","G22","G220","G221","G222","G223","G224","G225","G226","G227","G228","G229","G23","G230","G231","G232","G233","G234","G235","G236","G237","G238","G239","G24","G241","G25","G26","G27","G28","G29","G3","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G4","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G5","G50","G51","G52","G53","G54","G55","G56","G57","G58","G6","G67","G68","G69","G7","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G8","G80","G81","G82","G88","G9","G92","G93","G99"
"OTU579",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"OTU008",5222,481,625,422,5,11,75,1,5526,9,21,2,3,0,0,40,120,5,2,25,50,6,19,10,15599,6121,13656,7387,233,10,50,2,0,57,28,6,8,243,146,185,124,270,0,15,0,0,0,2,0,0,0,2,43,2,1,0,26,0,81,3,0,2,4,2192,2,1,4,120,0,2,16,17,1,0,20,0,0,0,0,6,1,17,0,20,2,23,74,4,13,0,1,2,79,0,7,7,0,14,874,3,3,0,5,0,141,0,0,0,25,76,0,1,0,0,0,0,1,0,11,36,1,1,0,0,0,0,2843,2,1,0,3512,5,0,1,1,0,0,0,60,1,0,1978,0,957,92,8,10264,5326,3554,5529,44,3,820,925,3,1119,5378,57,7,7390,137,369,7695,1870,922,36,22,5,2714,1,1315,0,7,0,9,1146,73,36,1,0,1366,1,19,1,6,46,0,43,346,435,73,2,0,248,5,3779,5,18,1,3476,14,850,44,430
"OTU325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU002",35121,24045,5569,10859,2796,19392,3943,5207,50786,1868,1405,19649,15662,1385,4964,4001,14071,304,123,3719,7456,1379,428,18515,29235,18425,27085,13220,3295,668,2604,254,560,1688,2200,739,17239,7738,44870,6512,40749,6128,70401,711,12804,18377,39541,22814,7594,1583,813,4760,3361,2635,2834,23635,34990,19065,49705,13228,20960,1967,11981,10870,8715,53903,2942,31218,22408,102774,10440,1888,2265,577,1813,217,3762,1713,5597,7201,13305,12969,19126,911,5176,7507,40174,6917,6966,17395,2137,15581,128401,5634,18684,32615,3849,4588,26541,18605,18561,18456,7487,735,14024,10708,16472,3180,1106,17056,7120,4315,14324,5169,408,2681,5797,3887,13782,3240,1113,4143,20707,29752,12854,20781,34997,7856,51126,33837,13059,6761,1219,13298,12226,40270,974,3530,32097,11360,13822,17019,39070,5605,15854,124969,35186,43735,12677,30464,22375,38081,12302,9783,63925,106477,3317,3670,1025,17624,14294,23990,14692,33938,53554,11406,23291,939,23261,12387,3609,22935,5098,10792,2559,3472,3121,4248,1199,10169,5337,15204,24326,2550,4809,3903,175,733,23726,11798,7924,43484,4721,25893,33802,12833,37073,15034,69952,18503,8516,18473,2080,2981
"OTU118",11,1,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,84,0,0,0,0,0,0,0,0,0,27,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,4,0,0,1,49,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0
"OTU080",8,5,2,0,0,0,0,0,1,0,0,279,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,41,6,1,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,0,16,1,1,1,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,8,0,5,21,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,27,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,83,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,23,0,0,0,2,0,1,6,0,1,0,0,0,1,0,0,5
"OTU012",305,458,42,20,215,48,62,5,567,1,0,4602,773,1114,36,1,1,774,58,4,64,2,0,1,88,10,311,6,2,173,35,33,0,150,0,15,4,2240,2173,960,1063,148,0,391,150,268,207,0,9,18,79,311,53,3,4,3992,174,9688,67,69,219,349,296,1,266,0,1,527,60,406,26,4453,97,64,0,1,0,444,137,32,1869,393,411,7,2,0,757,11,4,2250,425,3800,151,53,2577,3,0,71,262,1073,273,5,2,2,0,25,1,3,0,479,2,29,3,388,7,6,516,0,91,0,6,1,1316,74,112,2,0,184,5065,8,16,39,29,14,11,2,2949,153,979,16,1,11,133,0,0,1,16,92,5,96,104,0,25,15,1,294,0,2,1,4,53,380,0,0,16,63,69,0,103,0,11,33,8,356,2,111,1470,33,0,1,76,2715,2,1,0,2,96,402,3,53,27,65,0,494,683,3,6,0,2,2,52,128,12,4553
"OTU455",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU007",795,1668,387,132,419,10,169,22,1355,427,0,3533,208,357,347,94,2,936,811,229,303,4,38,23,417,337,1227,142,30,1173,151,235,0,191,4,78,0,2289,2755,2136,4883,1233,6,157,146,344,361,36,104,35,70,167,413,48,26,2016,379,1283,571,230,391,617,223,53,343,31,134,3656,1539,963,1004,986,539,277,22,25,18,922,1408,1210,3860,1416,1792,51,22,0,4640,456,910,3748,1627,2740,15567,120,1060,252,34,34,3027,2176,513,516,94,232,77,258,6,97,22,16491,78,965,1655,5052,11,21,1047,429,1274,101,31,28,2504,707,276,198,172,719,2095,368,140,97,213,106,357,205,4765,682,1174,916,2,59,199,2,9,51,207,1039,128,739,1681,18,715,590,46,6019,3,160,55,52,639,1465,0,7,3800,449,171,6,4337,1169,140,405,68,93,554,293,7600,267,19,1,196,2573,11,81,6,3,560,2192,32,726,213,887,0,295,661,49,33,339,4,23,294,709,92,5283
"OTU096",0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,1,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,7,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,7,12,2,0,1,0,0,0,0,0,2,7,17,0,9,1,2,0,0,0,0,1,0,36,10,1,0,0,0,0,53,0,0,5,2,6,1,0,12,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,1,0,4,0,0,3,0,0,0,0,0,1,5,1,0,0,0,11,0,0,0,0,2,0,0,3,3,38,1,0,0,0,0,0,5,1,0,0,0,0,0,10,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,4,0,1,0,0,0,0,0,7,0,2,0,0,0,7,0,0,0,0,0,0,0,0
"OTU073",0,0,0,0,0,0,0,0,0,0,0,52,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,41,9,6,0,0,6,1,0,0,0,4,80,167,56,0,0,5,0,0,0,0,1,18,11,0,7,0,2,0,0,0,0,2,0,5,5,5,0,0,0,0,146,0,0,18,0,5,0,0,45,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,15,6,0,3,0,30,0,0,0,6,7,0,0,0,5,22,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
